who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
0,19,332,-664.7955359,146.7771786,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",349000,245000,1571,0.672,0.732,50000,50000,40.584262,-73.938671,1.8,1,"""""",85,114,1.14E+08,0,4,4,TRUE,{turtles 250 1271 5257 1701 4599 3234 2273 2877 650 3316},0,FALSE,FALSE,-105356.3936,TRUE,0,2
1,89,106,-832.8369638,111.7641135,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1613000,1284000,3000,0.587,0.587,50000,50000,40.581301,-73.952882,0.9,2,"""""",121,149,6.54E+08,0,2,2,TRUE,{turtles 606 2360 846 107 4315 4708 4287 5165 4578 4336},2,FALSE,FALSE,-2942445.998,TRUE,0,2
2,39,133,-250.5747758,517.3646356,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",729000,523000,2717,0.449,0.557,50000,50000,40.615602,-73.903641,1.9,2,"""""",81,110,3.52E+08,0,1,1,TRUE,{turtles 679 1433 1335 1957 2824 3817 3701 5083 62 2282},0,FALSE,FALSE,-652561.2479,TRUE,0,2
3,39,150,-664.8664844,88.13827626,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",680000,467000,2500,0.586,0.672,50000,50000,40.579303,-73.938677,2.3,1,"""""",65,94,3.35E+08,0,1,1,TRUE,{turtles 4432 1055 5551 5719 5078 219 3794 2430 3846 912},0,FALSE,FALSE,-692915.4742,TRUE,0,2
4,29,336,-465.1583937,513.3678724,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",490000,323000,2000,0.362,0.449,50000,50000,40.615264,-73.921788,2.7,2,"""""",50,78,2.70E+08,0,1,1,TRUE,{turtles 4501 247 3574 2660 4652 4137 2310 2266 899 4494},0,FALSE,FALSE,-849391.0455,TRUE,0,2
5,39,339,-821.7217051,215.6563087,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",625000,470000,1600,0,0.152,0,20624,40.590087,-73.951942,4.5,2,"""""",0,8,3.16E+08,0,1,1,TRUE,{turtles 883 5678 1082 3639 4266 178 210 856 4702 5095},0,FALSE,FALSE,-738211.0343,TRUE,0,2
6,135,12,-771.5256695,111.1965258,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",2564000,1726000,9360,0.754,0.754,50000,50000,40.581253,-73.947697,0.2,1,"""""",148,177,9.79E+08,0,1,2,TRUE,{turtles 3278 1857 5042 4330 1083 2326 615 472 3980 2514},7,TRUE,FALSE,1E+12,TRUE,0,2
7,49,73,-261.7846326,509.3238101,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",801000,598000,2592,0.524,0.587,50000,50000,40.614922,-73.904589,1.4,2,"""""",101,130,3.76E+08,0,1,1,TRUE,{turtles 4662 4809 3068 2315 2862 2833 5085 5790 141 1335},0,FALSE,FALSE,-593265.2419,TRUE,0,2
8,39,17,-696.6986935,196.2873791,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",675000,515000,1800,0.314,0.407,50000,50000,40.588449,-73.941369,2.9,2,"""""",42,71,3.33E+08,0,1,1,TRUE,{turtles 4071 191 5371 5264 1467 370 4544 4987 3175 3202},0,FALSE,FALSE,-697033.2524,TRUE,0,2
9,29,240,-738.1207695,214.7103292,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",565000,409000,2200,0.471,0.586,50000,50000,40.590007,-73.944872,3,1,"""""",38,67,2.96E+08,0,1,1,TRUE,{turtles 4345 4369 323 1736 2444 4406 4939 1811 4672 4743},0,FALSE,FALSE,-787624.3726,TRUE,0,2
10,29,125,-576.6657236,522.3665021,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",565000,442000,2000,0,0.209,0,43001,40.616025,-73.931218,4.1,2,"""""",0,23,2.96E+08,0,1,1,TRUE,{turtles 1812 4147 22 648 5185 2799 2597 4084 63 5422},0,FALSE,FALSE,-787624.3726,TRUE,0,2
11,39,192,-545.3419784,616.7634283,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",642000,461000,2650,0,0.152,0,7207,40.624008,-73.928569,4.6,2.5,"""""",0,4,3.22E+08,0,1,1,TRUE,{turtles 1051 804 2345 2235 5268 387 120 5542 991 1911},0,FALSE,FALSE,-724210.5885,TRUE,0,2
12,29,76,-397.6154596,522.8276671,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",581000,351000,2804,0.362,0.449,50000,50000,40.616064,-73.916076,2.7,2,"""""",50,78,3.01E+08,0,1,1,TRUE,{turtles 2552 103 3178 5457 2631 3032 4385 77 1496 3155},0,FALSE,FALSE,-774447.4824,TRUE,0,2
13,39,229,-575.1639812,715.4527365,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",610000,462000,2167,0,0,0,0,40.632354,-73.931091,6.5,2,"""""",0,0,3.11E+08,0,1,1,TRUE,{turtles 1972 1641 923 3294 4088 3644 52 4508 4444 1610},0,FALSE,FALSE,-750564.3689,TRUE,0,2
14,29,88,-525.9375746,431.2095555,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",561000,390000,2500,0.263,0.407,46633,50000,40.608316,-73.926928,3.1,2,"""""",34,63,2.94E+08,0,1,1,TRUE,{turtles 3902 3380 365 4997 5715 4896 5376 2350 3497 3402},0,FALSE,FALSE,-790918.5952,TRUE,0,2
15,29,217,-598.624272,693.7898066,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",520000,340000,2433,0,0,0,0,40.630522,-73.933075,6.9,2,"""""",0,0,2.80E+08,0,1,1,TRUE,{turtles 425 1109 5620 811 2948 5423 3432 4836 1612 204},0,FALSE,FALSE,-824684.3764,TRUE,0,2
16,29,201,-485.6743234,537.9869881,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",502000,345000,3000,0,0.321,0,43001,40.617346,-73.923523,4.1,1,"""""",0,23,2.74E+08,0,1,1,TRUE,{turtles 5008 3090 495 456 1752 4230 500 4873 5762 2686},0,FALSE,FALSE,-839508.3779,TRUE,0,2
17,29,335,-512.5401403,573.283847,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",471000,313000,3000,0,0,0,0,40.620331,-73.925795,4.8,2,"""""",0,0,2.64E+08,0,1,1,TRUE,{turtles 4109 3472 5501 5328 2481 1929 2044 1561 2805 5109},0,FALSE,FALSE,-865038.6027,TRUE,0,2
18,29,292,-250.2673325,720.6437988,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",521000,361000,1800,0.488,0.557,50000,50000,40.632793,-73.903615,1.7,2,"""""",89,118,2.81E+08,0,1,1,TRUE,{turtles 5568 3853 5228 737 3518 2474 765 3504 1661 2971},0,FALSE,FALSE,-823860.8207,TRUE,0,2
19,29,136,-592.8419725,677.2588154,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",435000,291000,2048,0,0,0,0,40.629124,-73.932586,6.5,2,"""""",0,0,2.51E+08,0,1,1,TRUE,{turtles 2712 2602 3289 5022 4228 4430 1889 2945 871 204},0,FALSE,FALSE,-894686.6056,TRUE,0,2
20,29,209,-504.723985,446.2033301,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",492000,360000,2000,0.314,0.407,50000,50000,40.609584,-73.925134,3,2,"""""",38,67,2.71E+08,0,1,1,TRUE,{turtles 2826 2750 4558 333 379 1530 3307 3122 1514 1507},0,FALSE,FALSE,-847743.9342,TRUE,0,2
21,29,121,-553.1817833,415.5890695,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",567000,409000,2267,0.401,0.532,46633,50000,40.606995,-73.929232,3.2,1,"""""",30,59,2.96E+08,0,1,1,TRUE,{turtles 4232 50 4908 4077 3517 4158 1913 893 1543 1627},0,FALSE,FALSE,-785977.2614,TRUE,0,2
22,39,313,-579.9884765,526.8007808,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",650000,499000,2017,0,0.209,0,43001,40.6164,-73.931499,4.1,2.5,"""""",0,23,3.25E+08,0,1,1,TRUE,{turtles 2597 4084 1812 10 521 5185 648 4147 4456 4957},0,FALSE,FALSE,-717622.1434,TRUE,0,2
23,19,236,-235.4627538,841.7882946,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",338000,219000,1873,0,0,0,0,40.643038,-73.902363,5.8,2,"""""",0,0,1.12E+08,0,4,4,TRUE,{turtles 4631 3119 5683 3787 2190 2952 5192 2224 5656 486},0,FALSE,FALSE,-128994.4208,TRUE,0,2
24,29,279,-513.663491,759.5945034,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",481000,327000,2000,0,0.152,0,20624,40.636087,-73.92589,4.5,2,"""""",0,8,2.67E+08,0,1,1,TRUE,{turtles 944 2650 3554 2447 2034 5188 4619 326 2359 4376},0,FALSE,FALSE,-856803.0463,TRUE,0,2
25,29,114,-36.42867353,774.4818553,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",435000,306000,2133,0.362,0.488,50000,50000,40.637346,-73.885531,2.5,2,"""""",58,86,2.51E+08,0,1,1,TRUE,{turtles 3569 2565 1404 1221 5648 4284 2013 890 2362 42},0,FALSE,FALSE,-894686.6056,TRUE,0,2
26,39,260,-535.2791218,421.4777917,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",616000,466000,2167,0.263,0.407,46633,50000,40.607493,-73.927718,3.1,2,"""""",34,63,3.13E+08,0,1,1,TRUE,{turtles 437 959 147 4970 5147 4896 4056 1866 3497 3142},0,FALSE,FALSE,-745623.0351,TRUE,0,2
27,39,328,-682.2843313,466.1398474,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",687000,512000,2025,0,0.152,0,7207,40.61127,-73.94015,4.6,2,"""""",0,4,3.37E+08,0,1,1,TRUE,{turtles 3706 4906 3524 982 5837 690 260 1171 1131 2788},0,FALSE,FALSE,-687150.5847,TRUE,0,2
28,39,214,-214.5920818,506.060181,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",662000,476000,2500,0.488,0.557,50000,50000,40.614646,-73.900598,1.8,2,"""""",85,114,3.29E+08,0,1,1,TRUE,{turtles 4257 4258 3839 2209 1445 5088 1192 1947 4782 5028},0,FALSE,FALSE,-707739.4757,TRUE,0,2
29,49,11,-694.1681984,219.7240204,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",806000,631000,2608,0.314,0.407,50000,50000,40.590431,-73.941155,3,2,"""""",38,67,3.78E+08,0,1,1,TRUE,{turtles 4948 4487 1891 420 2465 1072 1462 1416 338 1412},0,FALSE,FALSE,-589147.4637,TRUE,0,2
30,19,350,-115.6662788,745.4166361,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",369000,278000,1552,0.263,0.407,46633,50000,40.634888,-73.892232,3.1,2,"""""",34,63,1.18E+08,0,4,4,TRUE,{turtles 5543 2830 1195 1772 5519 4636 4133 4880 1671 3734},0,FALSE,FALSE,-62378.16225,TRUE,0,2
31,19,293,-996.7752058,108.6423813,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",321000,195000,920,0.532,0.672,50000,50000,40.581037,-73.966746,2.5,1,"""""",58,86,1.09E+08,0,4,4,TRUE,{turtles 2657 5634 3725 2868 986 1605 5163 5859 903 1297},1,FALSE,FALSE,-165525.9174,TRUE,0,2
32,29,300,-484.125282,627.1573778,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",431000,174000,4000,0,0.233,0,32317,40.624887,-73.923392,4.4,1,"""""",0,12,2.50E+08,0,1,1,TRUE,{turtles 1686 4886 5372 3594 5701 2823 5486 4839 286 1454},0,FALSE,FALSE,-897980.8282,TRUE,0,2
33,29,285,-333.1587835,571.6283829,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",562000,421000,2800,0.362,0.449,50000,50000,40.620191,-73.910625,2.7,2,"""""",50,78,2.95E+08,0,1,1,TRUE,{turtles 2809 5540 4550 5609 5696 4051 2844 377 3949 4654},0,FALSE,FALSE,-790095.0395,TRUE,0,2
34,69,8,-678.7605578,102.0087002,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1283000,920000,2525,0.587,0.587,50000,50000,40.580476,-73.939852,0.4,2,"""""",140,169,5.41E+08,0,1,1,TRUE,{turtles 3697 4123 1240 3390 2177 5566 5442 1409 4510 2068},0,FALSE,FALSE,-196311.4241,TRUE,0,2
35,39,110,-382.0186231,407.4654708,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",675000,504000,1800,0.587,0.587,50000,50000,40.606308,-73.914757,0.7,2,"""""",128,157,3.33E+08,0,1,1,TRUE,{turtles 2817 4767 564 2610 5860 2531 4587 1343 4478 5415},0,FALSE,FALSE,-697033.2524,TRUE,0,2
36,29,140,-496.6358605,744.5652546,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",490000,233000,4000,0,0.209,0,43001,40.634816,-73.92445,4.3,2.5,"""""",0,15,2.70E+08,0,1,1,TRUE,{turtles 5569 2923 2922 548 4376 2359 326 5188 2447 2034},0,FALSE,FALSE,-849391.0455,TRUE,0,2
37,29,160,-584.481879,491.7167673,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",569000,348000,2500,0,0.209,0,43001,40.613433,-73.931879,4.2,2,"""""",0,19,2.97E+08,0,1,1,TRUE,{turtles 5076 2694 3868 1758 1203 513 1169 2932 2406 3825},0,FALSE,FALSE,-784330.1501,TRUE,0,2
38,29,20,-17.03609441,827.5394788,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",430000,292000,2121,0.524,0.587,50000,50000,40.641833,-73.883891,1.4,2,"""""",101,130,2.49E+08,0,1,1,TRUE,{turtles 4898 3129 3441 2819 3666 3482 5038 5669 3103 2098},0,FALSE,FALSE,-898804.3838,TRUE,0,2
39,135,345,-651.7291945,150.9631378,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",333000,218000,1287,0.632,0.705,50000,50000,40.584616,-73.937566,2,1,"""""",77,106,1.11E+08,0,3,4,TRUE,{turtles 859 3764 3731 1893 5161 5687 4216 4167 5577 5717},3,FALSE,TRUE,1E+12,TRUE,0,2
40,29,343,-624.2130167,177.166769,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",538000,329000,2600,0.362,0.449,50000,50000,40.586832,-73.935239,2.6,2,"""""",54,82,2.86E+08,0,1,1,TRUE,{turtles 5237 2858 248 2280 4069 957 4189 1314 2903 3181},0,FALSE,FALSE,-809860.3749,TRUE,0,2
41,19,302,-909.5558988,175.6059029,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",364000,246000,1452,0.401,0.532,46633,50000,40.5867,-73.95937,3.3,1,"""""",26,55,1.17E+08,0,4,4,TRUE,{turtles 3008 395 2578 940 4673 2437 5636 1163 2463 1158},0,FALSE,FALSE,-73122.72008,TRUE,0,2
42,29,72,-30.25615749,777.0832989,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",414000,286000,2125,0.362,0.449,50000,50000,40.637566,-73.885009,2.6,2,"""""",54,82,2.44E+08,0,1,1,TRUE,{turtles 2859 4843 163 4284 3569 25 1404 2565 5648 1221},0,FALSE,FALSE,-911981.2741,TRUE,0,2
43,79,33,-704.4557251,87.39331743,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1457000,1038000,5940,0.557,0.587,50000,50000,40.57924,-73.942025,1.2,2,"""""",109,138,6.00E+08,0,1,1,TRUE,{turtles 5510 3368 5013 4958 5213 527 3940 2031 3539 4005},0,FALSE,FALSE,-53012.74303,TRUE,0,2
44,39,236,-837.022923,234.7296197,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",682000,536000,1700,0,0,0,0,40.5917,-73.953236,6.6,2,"""""",0,0,3.36E+08,0,1,1,TRUE,{turtles 3232 4852 3982 930 3075 5545 2069 5520 3842 1371},0,FALSE,FALSE,-691268.3629,TRUE,0,2
45,19,114,-447.4685776,709.575839,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",392000,239000,2500,0,0.209,0,43001,40.631857,-73.920292,4.3,2,"""""",0,15,2.37E+08,0,1,1,TRUE,{turtles 919 2006 5036 5549 4610 5253 3121 596 1226 5737},0,FALSE,FALSE,-930099.4981,TRUE,0,2
46,29,237,-572.2432696,699.8204257,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",527000,387000,2200,0,0,0,0,40.631032,-73.930844,6.6,1,"""""",0,0,2.83E+08,0,1,1,TRUE,{turtles 2138 4275 1610 784 3891 3344 1419 4378 4041 4335},0,FALSE,FALSE,-818919.4869,TRUE,0,2
47,29,40,-496.3284172,526.1267705,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",447000,279000,2000,0,0.263,0,46633,40.616343,-73.924424,4,2,"""""",0,27,2.55E+08,0,1,1,TRUE,{turtles 1885 4039 2356 2512 1526 1007 545 2111 782 2675},0,FALSE,FALSE,-884803.938,TRUE,0,2
48,89,113,-755.4085443,84.42530684,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1611000,1163000,6000,0.587,0.587,50000,50000,40.578989,-73.946334,0.8,2,"""""",125,153,6.53E+08,0,2,2,TRUE,{turtles 1881 1329 457 376 4461 5009 4298 1789 5073 1776},1,FALSE,FALSE,-2940937.952,TRUE,0,2
49,29,170,-563.2091657,615.5573045,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",512000,380000,2000,0,0.152,0,7207,40.623906,-73.93008,4.6,2,"""""",0,4,2.78E+08,0,1,1,TRUE,{turtles 4450 4915 3816 3934 1886 303 4584 4471 1017 5581},0,FALSE,FALSE,-831272.8215,TRUE,0,2
50,39,247,-551.5736182,414.1464508,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",710000,503000,3125,0.263,0.407,46633,50000,40.606873,-73.929096,3.1,2,"""""",34,63,3.45E+08,0,1,1,TRUE,{turtles 4908 4232 21 3517 4158 4077 1627 3142 893 1913},0,FALSE,FALSE,-668208.805,TRUE,0,2
51,39,87,-699.0045184,560.6904953,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",636000,456000,2032,0,0,0,0,40.619266,-73.941564,6.5,2,"""""",0,0,3.20E+08,0,1,1,TRUE,{turtles 3830 3236 3360 2960 3183 3028 1781 4825 5092 1289},0,FALSE,FALSE,-729151.9223,TRUE,0,2
52,29,266,-578.4749093,711.7515918,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",475000,354000,1720,0,0,0,0,40.632041,-73.931371,6.7,2,"""""",0,0,2.65E+08,0,1,1,TRUE,{turtles 4088 3294 923 3644 1641 13 1972 774 2572 4841},0,FALSE,FALSE,-861744.3801,TRUE,0,2
53,29,8,-581.0290539,566.8511866,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",504000,320000,3500,0,0,0,0,40.619787,-73.931587,5.2,2,"""""",0,0,2.75E+08,0,1,1,TRUE,{turtles 2857 4741 2048 1591 2568 4347 3301 1647 1749 2142},0,FALSE,FALSE,-837861.2666,TRUE,0,2
54,39,209,-279.2497785,556.2207423,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",791000,584000,3200,0.362,0.488,50000,50000,40.618888,-73.906066,2.5,2,"""""",58,86,3.73E+08,0,1,1,TRUE,{turtles 5197 1725 3445 917 562 4962 5785 2693 686 2270},0,FALSE,FALSE,-601500.7983,TRUE,0,2
55,99,325,-775.6170307,43.73636493,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1938000,1447000,4000,0.587,0.587,50000,50000,40.575548,-73.948043,0.8,2,"""""",125,153,7.65E+08,0,2,2,TRUE,{turtles 1965 4499 1539 1968 2129 227 3211 3450 4500 5660},1,FALSE,FALSE,-3187503.472,TRUE,0,2
56,29,316,-619.2466245,611.3003969,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",495000,342000,1833,0,0.152,0,7207,40.623546,-73.934819,4.6,2,"""""",0,4,2.72E+08,0,1,1,TRUE,{turtles 4160 1623 955 5281 3773 1472 5225 1674 5743 1243},0,FALSE,FALSE,-845273.2673,TRUE,0,2
57,29,175,-541.262442,457.9807745,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",526000,373000,2500,0,0.263,0,46633,40.61058,-73.928224,4,2,"""""",0,27,2.82E+08,0,1,1,TRUE,{turtles 4033 1694 1569 181 3257 256 5848 152 5174 1113},0,FALSE,FALSE,-819743.0425,TRUE,0,2
58,29,346,-70.03459417,799.5503113,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",406000,246000,2600,0.407,0.488,50000,50000,40.639466,-73.888373,2.3,2,"""""",65,94,2.41E+08,0,1,1,TRUE,{turtles 1662 3997 2812 5240 2040 4246 358 5459 1466 1359},0,FALSE,FALSE,-918569.7192,TRUE,0,2
59,29,93,-632.5021618,521.8580381,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",538000,360000,2000,0,0,0,0,40.615982,-73.93594,5.7,2.5,"""""",0,0,2.86E+08,0,1,1,TRUE,{turtles 4251 3248 2132 1270 529 5452 586 241 1536 5592},0,FALSE,FALSE,-809860.3749,TRUE,0,2
60,29,152,-61.46165523,791.8524033,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",402000,239000,2600,0.407,0.524,50000,50000,40.638815,-73.887648,2.2,2,"""""",69,98,2.40E+08,0,1,1,TRUE,{turtles 2338 4201 676 2418 734 4511 2057 626 411 2289},0,FALSE,FALSE,-921863.9417,TRUE,0,2
61,39,159,-618.0996243,520.1316256,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",773000,480000,3300,0,0,0,0,40.615836,-73.934722,5.1,2,"""""",0,0,3.67E+08,0,1,1,TRUE,{turtles 3153 1704 591 629 1236 1916 463 241 1614 5611},0,FALSE,FALSE,-616324.7998,TRUE,0,2
62,39,126,-257.433127,518.3460893,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",715000,514000,2550,0.488,0.557,50000,50000,40.615685,-73.904221,1.7,2,"""""",89,118,3.47E+08,0,1,1,TRUE,{turtles 5083 2151 1052 1335 3701 1957 679 1219 307 831},0,FALSE,FALSE,-664091.0268,TRUE,0,2
63,39,70,-586.3147142,519.4930894,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",725000,484000,2800,0,0.209,0,43001,40.615782,-73.932034,4.3,2,"""""",0,15,3.50E+08,0,1,1,TRUE,{turtles 5422 5185 648 2799 2485 3439 4147 4957 1589 4645},0,FALSE,FALSE,-655855.4705,TRUE,0,2
64,39,98,-273.0181388,532.5357814,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",664000,459000,2700,0.449,0.557,50000,50000,40.616885,-73.905539,1.9,2,"""""",81,110,3.29E+08,0,1,1,TRUE,{turtles 1222 5314 2542 3613 3300 5631 1859 2928 3244 1388},0,FALSE,FALSE,-706092.3644,TRUE,0,2
65,39,156,-695.5280439,486.1000142,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",664000,481000,2000,0,0,0,0,40.612958,-73.94127,5.4,2,"""""",0,0,3.29E+08,0,1,1,TRUE,{turtles 1034 4296 5058 4488 5087 1935 5647 5754 2023 4049},0,FALSE,FALSE,-706092.3644,TRUE,0,2
66,39,349,-326.4423293,823.2589217,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",606000,472000,2212,0,0,0,0,40.641471,-73.910057,5.8,1,"""""",0,0,3.10E+08,0,1,1,TRUE,{turtles 5833 1422 2509 4675 4656 2153 1242 1742 4542 850},0,FALSE,FALSE,-753858.5915,TRUE,0,2
67,29,286,-676.170939,556.4927114,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",560000,405000,1640,0,0,0,0,40.618911,-73.939633,6,2,"""""",0,0,2.94E+08,0,1,1,TRUE,{turtles 3724 4730 1198 4819 4755 5243 5183 154 1970 3169},0,FALSE,FALSE,-791742.1508,TRUE,0,2
68,29,307,-338.2434232,845.1346969,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",563000,384000,3000,0,0,0,0,40.643321,-73.911055,6,1,"""""",0,0,2.95E+08,0,1,1,TRUE,{turtles 3959 4202 2010 3399 2133 528 1688 4203 850 4542},0,FALSE,FALSE,-789271.4839,TRUE,0,2
69,39,265,-952.4324182,171.6564386,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",652000,524000,1600,0.263,0.362,46633,50000,40.586366,-73.962996,3.3,2,"""""",26,55,3.25E+08,0,1,1,TRUE,{turtles 2167 598 121 5793 1855 3786 5733 1311 126 3198},0,FALSE,FALSE,-715975.0321,TRUE,0,2
70,59,46,-312.8202249,540.0563181,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1135000,762000,5250,0.362,0.449,50000,50000,40.617521,-73.908905,2.6,2,"""""",54,82,4.90E+08,0,1,1,TRUE,{turtles 1729 2815 791 2204 3939 1899 3491 4897 2770 3140},0,FALSE,FALSE,-318197.6586,TRUE,0,2
71,19,315,-661.933948,153.9429731,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",357000,274000,1073,0.401,0.532,46633,50000,40.584868,-73.938429,3.2,1,"""""",30,59,1.16E+08,0,4,4,TRUE,{turtles 3170 3862 1303 3240 2877 5753 3234 4449 4599 650},1,FALSE,FALSE,-88165.10104,TRUE,0,2
72,49,187,-675.804372,457.1175682,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",867000,584000,3200,0,0.209,0,43001,40.610507,-73.939602,4.3,2.5,"""""",0,15,3.99E+08,0,1,1,TRUE,{turtles 4953 2746 4304 1089 4909 2757 327 1229 2751 5194},0,FALSE,FALSE,-538910.5698,TRUE,0,2
73,39,226,-391.3010466,408.2695534,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",633000,432000,1800,0.587,0.587,50000,50000,40.606376,-73.915542,0.5,2,"""""",136,165,3.19E+08,0,1,1,TRUE,{turtles 4729 2346 274 271 1890 3863 3659 493 2522 2791},0,FALSE,FALSE,-731622.5892,TRUE,0,2
74,19,109,-431.8244421,879.4974012,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",365000,188000,1440,0,0,0,0,40.646227,-73.918969,5.9,2,"""""",0,0,1.17E+08,0,4,4,TRUE,{turtles 5068 4140 4023 1033 5387 3431 1237 4856 1805 740},0,FALSE,FALSE,-70973.80851,TRUE,0,2
75,39,199,-356.1579093,424.1738332,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",609000,387000,2100,0.488,0.557,50000,50000,40.607721,-73.91257,1.7,2,"""""",89,118,3.11E+08,0,1,1,TRUE,{turtles 730 2888 3555 706 1128 5193 1741 1100 558 2589},0,FALSE,FALSE,-751387.9245,TRUE,0,2
76,29,102,-584.8247965,602.266293,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",480000,352000,2400,0,0.152,0,7207,40.622782,-73.931908,4.6,2.75,"""""",0,4,2.67E+08,0,1,1,TRUE,{turtles 1842 4983 3124 4222 1054 402 3689 3588 3582 2399},0,FALSE,FALSE,-857626.6019,TRUE,0,2
