Year,OBJECTIVE
0,0
1,345300
2,2330373.171
3,8386455.922
4,1.12E+07
5,1.28E+07
6,1.36E+07
7,1.56E+07
8,1.81E+07
9,1.98E+07
10,2.03E+07
11,2.03E+07
12,2.03E+07
13,2.03E+07
14,2.03E+07
15,2.03E+07
16,2.03E+07
17,2.03E+07
18,2.03E+07
19,2.03E+07
20,2.03E+07
21,2.03E+07
22,2.03E+07
23,2.03E+07
24,2.03E+07
25,2.03E+07
26,2.03E+07
27,2.03E+07
28,2.03E+07
29,2.03E+07
30,2.03E+07
31,2.03E+07
32,2.03E+07
33,2.03E+07
34,2.03E+07
35,2.03E+07
36,2.03E+07
37,2.03E+07
38,2.03E+07
39,2.03E+07
40,2.03E+07
41,2.03E+07
42,2.03E+07
43,2.03E+07
44,2.03E+07
45,2.03E+07
46,2.03E+07
47,2.03E+07
48,2.03E+07
49,2.03E+07
50,2.03E+07
51,2.03E+07
52,2.03E+07
53,2.03E+07
54,2.03E+07
55,2.03E+07
56,2.03E+07
57,2.03E+07
58,2.03E+07
59,2.03E+07
60,2.03E+07
61,2.03E+07
62,2.03E+07
63,2.03E+07
64,2.03E+07
65,2.03E+07
66,2.03E+07
67,2.03E+07
68,2.03E+07
69,2.03E+07
70,2.03E+07
71,2.03E+07
72,2.03E+07
73,2.03E+07
74,2.03E+07
75,2.03E+07
76,2.03E+07
77,2.03E+07
78,2.03E+07
79,2.03E+07
80,2.03E+07
81,2.03E+07
